math,0,1,2,3,Math_Score
87.0,55.0,31.0,23.0,16.0,0
104.0,41.0,44.0,39.0,18.0,1
116.0,42.0,49.0,28.0,18.0,1
117.0,54.0,39.0,37.0,17.0,1
119.0,51.0,41.0,37.0,17.0,1
108.0,35.0,41.0,41.0,16.0,1
92.0,43.0,51.0,46.0,21.0,0
117.0,54.0,40.0,42.0,17.0,1
112.0,41.0,53.0,33.0,17.0,1
121.0,51.0,40.0,38.0,15.0,1
104.0,39.0,40.0,36.0,17.0,1
99.0,39.0,51.0,48.0,17.0,0
104.0,51.0,39.0,36.0,18.0,1
121.0,51.0,41.0,32.0,18.0,1
119.0,50.0,36.0,30.0,18.0,1
103.0,41.0,42.0,40.0,18.0,1
106.0,56.0,42.0,36.0,20.0,1
135.0,56.0,46.0,41.0,19.0,1
104.0,36.0,44.0,43.0,15.0,1
71.0,47.0,40.0,32.0,15.0,0
107.0,58.0,43.0,42.0,21.0,1
118.0,59.0,40.0,36.0,16.0,1
71.0,33.0,37.0,25.0,12.0,0
129.0,49.0,37.0,33.0,14.0,1
128.0,60.0,39.0,31.0,18.0,1
133.0,40.0,37.0,33.0,22.0,1
106.0,52.0,45.0,41.0,18.0,1
99.0,34.0,39.0,41.0,18.0,0
117.0,54.0,39.0,39.0,17.0,1
115.0,40.0,47.0,40.0,20.0,1
98.0,35.0,41.0,43.0,16.0,0
148.0,2.0,1.0,-0.0,1.0,1
108.0,51.0,41.0,38.0,18.0,1
104.0,36.0,42.0,44.0,16.0,1
115.0,36.0,41.0,45.0,17.0,1
131.0,51.0,37.0,35.0,14.0,1
72.0,49.0,38.0,38.0,16.0,0
77.0,12.0,19.0,20.0,9.0,0
117.0,47.0,40.0,37.0,16.0,1
114.0,45.0,55.0,32.0,18.0,1
114.0,38.0,42.0,35.0,16.0,1
127.0,43.0,37.0,36.0,13.0,1
104.0,33.0,40.0,39.0,14.0,1
113.0,43.0,52.0,37.0,17.0,1
110.0,60.0,45.0,42.0,20.0,1
125.0,55.0,37.0,31.0,16.0,1
115.0,51.0,41.0,39.0,18.0,1
133.0,48.0,34.0,34.0,13.0,1
99.0,45.0,48.0,42.0,19.0,0
126.0,45.0,39.0,35.0,14.0,1
121.0,42.0,49.0,30.0,17.0,1
110.0,36.0,42.0,41.0,15.0,1
115.0,52.0,41.0,40.0,17.0,1
148.0,51.0,37.0,31.0,17.0,1
115.0,41.0,52.0,39.0,14.0,1
138.0,0.0,0.0,0.0,0.0,1
87.0,59.0,38.0,39.0,19.0,0
111.0,44.0,52.0,39.0,17.0,1
121.0,37.0,44.0,33.0,19.0,1
121.0,53.0,42.0,38.0,17.0,1
144.0,43.0,44.0,37.0,19.0,1
106.0,55.0,42.0,41.0,18.0,1
104.0,36.0,42.0,43.0,16.0,1
113.0,45.0,50.0,37.0,17.0,1
97.0,31.0,45.0,44.0,16.0,0
79.0,43.0,51.0,37.0,17.0,0
117.0,56.0,35.0,33.0,16.0,1
119.0,54.0,40.0,38.0,17.0,1
92.0,37.0,43.0,41.0,18.0,0
125.0,39.0,49.0,30.0,16.0,1
98.0,39.0,46.0,38.0,20.0,0
117.0,38.0,42.0,34.0,15.0,1
88.0,42.0,50.0,48.0,19.0,0
104.0,38.0,44.0,40.0,17.0,1
94.0,32.0,42.0,41.0,14.0,0
111.0,49.0,42.0,41.0,16.0,1
123.0,53.0,40.0,34.0,17.0,1
111.0,37.0,47.0,48.0,20.0,1
99.0,44.0,51.0,46.0,19.0,0
111.0,55.0,46.0,42.0,18.0,1
98.0,40.0,47.0,43.0,18.0,0
120.0,51.0,40.0,37.0,15.0,1
110.0,35.0,39.0,43.0,14.0,1
117.0,52.0,39.0,37.0,16.0,1
121.0,52.0,33.0,33.0,17.0,1
111.0,44.0,50.0,38.0,16.0,1
76.0,29.0,34.0,38.0,18.0,0
111.0,51.0,43.0,38.0,17.0,1
108.0,52.0,44.0,37.0,19.0,1
104.0,53.0,44.0,43.0,19.0,1
98.0,49.0,42.0,41.0,17.0,0
113.0,51.0,44.0,41.0,18.0,1
109.0,0.0,0.0,0.0,0.0,1
115.0,55.0,44.0,41.0,19.0,1
116.0,48.0,43.0,39.0,16.0,1
123.0,54.0,36.0,36.0,14.0,1
117.0,56.0,44.0,39.0,18.0,1
113.0,35.0,34.0,34.0,16.0,1
127.0,51.0,39.0,35.0,15.0,1
103.0,38.0,42.0,38.0,15.0,1
73.0,53.0,42.0,35.0,19.0,0
126.0,51.0,38.0,33.0,15.0,1
110.0,33.0,34.0,37.0,13.0,1
148.0,0.0,0.0,0.0,0.0,1
82.0,44.0,45.0,40.0,21.0,0
100.0,59.0,45.0,45.0,23.0,0
127.0,45.0,50.0,50.0,19.0,1
118.0,46.0,34.0,37.0,15.0,1
145.0,15.0,14.0,13.0,6.0,1
115.0,34.0,41.0,39.0,13.0,1
124.0,47.0,37.0,36.0,13.0,1
140.0,0.0,0.0,0.0,0.0,1
109.0,46.0,55.0,42.0,18.0,1
105.0,0.0,0.0,0.0,0.0,1
116.0,50.0,41.0,33.0,18.0,1
115.0,41.0,51.0,35.0,17.0,1
122.0,54.0,40.0,36.0,17.0,1
103.0,49.0,61.0,45.0,20.0,1
104.0,30.0,44.0,43.0,16.0,1
100.0,53.0,39.0,30.0,17.0,0
90.0,27.0,38.0,43.0,15.0,0
113.0,56.0,43.0,39.0,17.0,1
140.0,40.0,42.0,37.0,18.0,1
87.0,55.0,37.0,39.0,17.0,0
124.0,0.0,0.0,0.0,0.0,1
109.0,44.0,52.0,38.0,17.0,1
114.0,43.0,51.0,29.0,17.0,1
119.0,51.0,39.0,36.0,18.0,1
111.0,53.0,44.0,41.0,16.0,1
118.0,44.0,52.0,33.0,18.0,1
111.0,42.0,48.0,37.0,16.0,1
110.0,34.0,38.0,38.0,15.0,1
95.0,42.0,45.0,42.0,19.0,0
117.0,57.0,40.0,37.0,17.0,1
104.0,1.0,1.0,3.0,1.0,1
105.0,33.0,41.0,39.0,14.0,1
122.0,55.0,37.0,28.0,18.0,1
102.0,40.0,54.0,38.0,18.0,1
121.0,50.0,37.0,36.0,16.0,1
74.0,0.0,0.0,0.0,0.0,0
93.0,39.0,50.0,50.0,18.0,0
89.0,0.0,0.0,0.0,0.0,0
103.0,0.0,0.0,0.0,0.0,1
103.0,44.0,53.0,38.0,20.0,1
71.0,55.0,46.0,36.0,19.0,0
86.0,31.0,44.0,40.0,17.0,0
109.0,58.0,46.0,39.0,21.0,1
111.0,52.0,43.0,40.0,18.0,1
133.0,51.0,45.0,38.0,17.0,1
114.0,37.0,46.0,30.0,16.0,1
114.0,43.0,52.0,41.0,16.0,1
112.0,51.0,41.0,41.0,18.0,1
77.0,0.0,0.0,0.0,0.0,0
121.0,47.0,36.0,36.0,14.0,1
111.0,52.0,38.0,34.0,16.0,1
121.0,47.0,36.0,34.0,15.0,1
128.0,55.0,42.0,41.0,15.0,1
116.0,41.0,44.0,37.0,22.0,1
117.0,51.0,39.0,33.0,18.0,1
117.0,54.0,40.0,38.0,16.0,1
100.0,37.0,46.0,43.0,18.0,0
110.0,40.0,45.0,39.0,17.0,1
111.0,56.0,45.0,38.0,19.0,1
138.0,12.0,12.0,7.0,5.0,1
109.0,51.0,45.0,43.0,18.0,1
87.0,33.0,44.0,47.0,17.0,0
115.0,39.0,44.0,38.0,19.0,1
100.0,41.0,48.0,44.0,19.0,0
107.0,32.0,45.0,40.0,17.0,1
115.0,46.0,37.0,32.0,13.0,1
108.0,44.0,51.0,39.0,16.0,1
120.0,0.0,0.0,0.0,0.0,1
113.0,30.0,34.0,31.0,14.0,1
78.0,7.0,6.0,8.0,6.0,0
100.0,38.0,43.0,44.0,17.0,0
102.0,43.0,48.0,45.0,18.0,1
99.0,36.0,42.0,47.0,16.0,0
115.0,47.0,38.0,34.0,16.0,1
99.0,42.0,51.0,38.0,21.0,0
98.0,33.0,48.0,45.0,17.0,0
93.0,62.0,45.0,38.0,20.0,0
118.0,34.0,40.0,34.0,15.0,1
114.0,41.0,46.0,38.0,19.0,1
104.0,43.0,51.0,38.0,19.0,1
124.0,46.0,36.0,34.0,14.0,1
102.0,36.0,37.0,41.0,16.0,1
86.0,0.0,0.0,0.0,0.0,0
116.0,49.0,36.0,34.0,16.0,1
115.0,49.0,41.0,34.0,19.0,1
113.0,52.0,42.0,36.0,18.0,1
103.0,42.0,48.0,47.0,17.0,1
105.0,52.0,46.0,42.0,18.0,1
87.0,34.0,47.0,46.0,18.0,0
113.0,52.0,43.0,39.0,17.0,1
119.0,57.0,35.0,33.0,18.0,1
102.0,37.0,39.0,41.0,17.0,1
142.0,0.0,0.0,0.0,0.0,1
98.0,43.0,53.0,39.0,20.0,0
