0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
56.0,21.0,22.0,16.0,13.0,12.0,10.0,0.0,8.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0
42.0,38.0,32.0,23.0,15.0,15.0,12.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0
43.0,28.0,37.0,25.0,11.0,12.0,13.0,0.0,9.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0
55.0,35.0,27.0,21.0,14.0,16.0,11.0,3.0,6.0,5.0,4.0,5.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53.0,36.0,28.0,23.0,13.0,14.0,11.0,3.0,6.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0,-0.0,0.0,0.0
37.0,40.0,30.0,22.0,13.0,14.0,11.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,0.0,2.0,3.0,-0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0
45.0,45.0,37.0,27.0,16.0,17.0,14.0,3.0,7.0,5.0,4.0,6.0,3.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56.0,40.0,27.0,21.0,14.0,15.0,12.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42.0,33.0,39.0,29.0,11.0,14.0,11.0,1.0,7.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,-0.0,0.0
52.0,36.0,27.0,22.0,12.0,14.0,12.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,3.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.0,0.0,1.0,-0.0,0.0,0.0,-0.0,0.0
40.0,35.0,29.0,20.0,13.0,12.0,11.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,-0.0,2.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0
40.0,47.0,36.0,28.0,13.0,16.0,13.0,5.0,4.0,5.0,6.0,6.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0
52.0,34.0,27.0,21.0,15.0,14.0,12.0,5.0,7.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,0.0
52.0,31.0,29.0,22.0,14.0,14.0,12.0,2.0,7.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0,0.0,-0.0,0.0
51.0,28.0,26.0,19.0,14.0,14.0,11.0,3.0,6.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0
42.0,39.0,31.0,21.0,14.0,14.0,10.0,4.0,5.0,5.0,4.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,-0.0,2.0,3.0,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0
57.0,34.0,32.0,21.0,17.0,15.0,10.0,4.0,7.0,5.0,6.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,-0.0,3.0,3.0,1.0,1.0,1.0,-0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57.0,39.0,33.0,24.0,17.0,16.0,11.0,2.0,7.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37.0,42.0,31.0,24.0,12.0,14.0,11.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0
48.0,30.0,28.0,22.0,13.0,13.0,11.0,2.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0
59.0,40.0,32.0,22.0,17.0,17.0,12.0,5.0,6.0,6.0,5.0,5.0,3.0,4.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0
60.0,34.0,28.0,22.0,14.0,14.0,10.0,3.0,6.0,4.0,4.0,6.0,3.0,4.0,3.0,3.0,2.0,0.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34.0,26.0,26.0,22.0,9.0,9.0,9.0,1.0,7.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,-0.0,1.0,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
50.0,31.0,26.0,20.0,12.0,13.0,11.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,0.0
61.0,28.0,28.0,20.0,14.0,14.0,11.0,5.0,8.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,-0.0,0.0
40.0,31.0,28.0,18.0,15.0,16.0,12.0,5.0,6.0,7.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,-0.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0
53.0,39.0,31.0,25.0,15.0,15.0,12.0,3.0,6.0,4.0,5.0,5.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,0.0
35.0,40.0,29.0,20.0,14.0,14.0,11.0,5.0,4.0,5.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0
55.0,37.0,27.0,21.0,14.0,14.0,12.0,2.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0
41.0,39.0,34.0,26.0,13.0,17.0,14.0,4.0,6.0,6.0,5.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0
37.0,42.0,30.0,21.0,13.0,14.0,10.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,0.0,-0.0,1.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.0,-0.0,0.0,-0.0,0.0
2.0,-0.0,1.0,0.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
52.0,37.0,30.0,21.0,15.0,15.0,13.0,1.0,6.0,6.0,4.0,5.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0
37.0,43.0,30.0,23.0,13.0,14.0,11.0,2.0,3.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,0.0
38.0,44.0,30.0,21.0,15.0,14.0,11.0,3.0,3.0,4.0,3.0,5.0,1.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,0.0
52.0,33.0,25.0,21.0,12.0,14.0,10.0,2.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0
50.0,36.0,27.0,19.0,14.0,15.0,10.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0
13.0,20.0,15.0,9.0,7.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
