math,0,1,2,3
87.0,55.0,31.0,23.0,16.0
104.0,41.0,44.0,39.0,18.0
116.0,42.0,49.0,28.0,18.0
117.0,54.0,39.0,37.0,17.0
119.0,51.0,41.0,37.0,17.0
108.0,35.0,41.0,41.0,16.0
92.0,43.0,51.0,46.0,21.0
117.0,54.0,40.0,42.0,17.0
112.0,41.0,53.0,33.0,17.0
121.0,51.0,40.0,38.0,15.0
104.0,39.0,40.0,36.0,17.0
99.0,39.0,51.0,48.0,17.0
104.0,51.0,39.0,36.0,18.0
121.0,51.0,41.0,32.0,18.0
119.0,50.0,36.0,30.0,18.0
103.0,41.0,42.0,40.0,18.0
106.0,56.0,42.0,36.0,20.0
135.0,56.0,46.0,41.0,19.0
104.0,36.0,44.0,43.0,15.0
71.0,47.0,40.0,32.0,15.0
107.0,58.0,43.0,42.0,21.0
118.0,59.0,40.0,36.0,16.0
71.0,33.0,37.0,25.0,12.0
129.0,49.0,37.0,33.0,14.0
128.0,60.0,39.0,31.0,18.0
133.0,40.0,37.0,33.0,22.0
106.0,52.0,45.0,41.0,18.0
99.0,34.0,39.0,41.0,18.0
117.0,54.0,39.0,39.0,17.0
115.0,40.0,47.0,40.0,20.0
98.0,35.0,41.0,43.0,16.0
148.0,2.0,1.0,-0.0,1.0
108.0,51.0,41.0,38.0,18.0
104.0,36.0,42.0,44.0,16.0
115.0,36.0,41.0,45.0,17.0
131.0,51.0,37.0,35.0,14.0
72.0,49.0,38.0,38.0,16.0
77.0,12.0,19.0,20.0,9.0
117.0,47.0,40.0,37.0,16.0
114.0,45.0,55.0,32.0,18.0
114.0,38.0,42.0,35.0,16.0
127.0,43.0,37.0,36.0,13.0
104.0,33.0,40.0,39.0,14.0
113.0,43.0,52.0,37.0,17.0
110.0,60.0,45.0,42.0,20.0
125.0,55.0,37.0,31.0,16.0
115.0,51.0,41.0,39.0,18.0
133.0,48.0,34.0,34.0,13.0
99.0,45.0,48.0,42.0,19.0
126.0,45.0,39.0,35.0,14.0
121.0,42.0,49.0,30.0,17.0
110.0,36.0,42.0,41.0,15.0
115.0,52.0,41.0,40.0,17.0
148.0,51.0,37.0,31.0,17.0
115.0,41.0,52.0,39.0,14.0
138.0,0.0,0.0,0.0,0.0
87.0,59.0,38.0,39.0,19.0
111.0,44.0,52.0,39.0,17.0
121.0,37.0,44.0,33.0,19.0
121.0,53.0,42.0,38.0,17.0
144.0,43.0,44.0,37.0,19.0
106.0,55.0,42.0,41.0,18.0
104.0,36.0,42.0,43.0,16.0
113.0,45.0,50.0,37.0,17.0
97.0,31.0,45.0,44.0,16.0
79.0,43.0,51.0,37.0,17.0
117.0,56.0,35.0,33.0,16.0
119.0,54.0,40.0,38.0,17.0
92.0,37.0,43.0,41.0,18.0
125.0,39.0,49.0,30.0,16.0
98.0,39.0,46.0,38.0,20.0
117.0,38.0,42.0,34.0,15.0
88.0,42.0,50.0,48.0,19.0
104.0,38.0,44.0,40.0,17.0
94.0,32.0,42.0,41.0,14.0
111.0,49.0,42.0,41.0,16.0
123.0,53.0,40.0,34.0,17.0
111.0,37.0,47.0,48.0,20.0
99.0,44.0,51.0,46.0,19.0
111.0,55.0,46.0,42.0,18.0
98.0,40.0,47.0,43.0,18.0
120.0,51.0,40.0,37.0,15.0
